style_id	draft	missing_tileset_id	style_name
cki5ur8g0503s19qqxfuvcjtk	false	probablefutures.6vl3fhxx	GCM: Number of Days above 32°C (90°F) -- For About Maps comparison map (Behind the maps page)
cki5ur8g0503s19qqxfuvcjtk	true	probablefutures.6vl3fhxx	GCM: Number of Days above 32°C (90°F) -- For About Maps comparison map (Behind the maps page)
clguxgc01001c01pfe4hm2i78	true	probablefutures.57m7sc4k	Average Temperature -- v2-copy-copy
clguxgc01001c01pfe4hm2i78	true	probablefutures.6q0xb2to	Average Temperature -- v2-copy-copy
clguxgc01001c01pfe4hm2i78	true	probablefutures.8m2yrnyk	Average Temperature -- v2-copy-copy
clguxgc01001c01pfe4hm2i78	true	probablefutures.8nvbxwda	Average Temperature -- v2-copy-copy
clguxgc01001c01pfe4hm2i78	true	probablefutures.bgf79xg2	Average Temperature -- v2-copy-copy
clguxgc01001c01pfe4hm2i78	true	probablefutures.cri4a14s	Average Temperature -- v2-copy-copy
clk00bkc200re01nm7s2o1dqt	true	probablefutures.57m7sc4k	Change in total annual precipitation -- v3-copy
clk00bkc200re01nm7s2o1dqt	true	probablefutures.6q0xb2to	Change in total annual precipitation -- v3-copy
clk00bkc200re01nm7s2o1dqt	true	probablefutures.8m2yrnyk	Change in total annual precipitation -- v3-copy
clk00bkc200re01nm7s2o1dqt	true	probablefutures.8nvbxwda	Change in total annual precipitation -- v3-copy
clk00bkc200re01nm7s2o1dqt	true	probablefutures.bgf79xg2	Change in total annual precipitation -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.57m7sc4k	Likelihood of year-plus drought -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.6q0xb2to	Likelihood of year-plus drought -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.8m2yrnyk	Likelihood of year-plus drought -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.8nvbxwda	Likelihood of year-plus drought -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.bgf79xg2	Likelihood of year-plus drought -- v3-copy
clk00cgal00rz01nsereoc136	true	probablefutures.cri4a14s	Likelihood of year-plus drought -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.57m7sc4k	Change in snowy days -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.6q0xb2to	Change in snowy days -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.8m2yrnyk	Change in snowy days -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.8nvbxwda	Change in snowy days -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.bgf79xg2	Change in snowy days -- v3-copy
clk00czhr00sz01qvcdo0cfws	true	probablefutures.cri4a14s	Change in snowy days -- v3-copy
