tileset_id	style_id	draft	style_name
mapbox.country-boundaries-v1	clg417c2r002e01qp5hdn21pl	true	Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clguxgc01001c01pfe4hm2i78	false	Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clguxgc01001c01pfe4hm2i78	true	Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clguz0sqm009c01pb2t6oh2rr	false	Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clguz0sqm009c01pb2t6oh2rr	true	Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clh6ey7in001g01qvhduy01gz	false	Average Temperature -- v2-copy-copy atmosphere playground 2-copy
mapbox.country-boundaries-v1	clh6ey7in001g01qvhduy01gz	true	Average Temperature -- v2-copy-copy atmosphere playground 2-copy
mapbox.country-boundaries-v1	clh6f2g6w009g01qjaumx61cn	false	Globe option: Brand black space, globe illos gray low atmos -- Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clh6f2g6w009g01qjaumx61cn	true	Globe option: Brand black space, globe illos gray low atmos -- Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clh6f6fzf009j01qjg5zw8pcm	false	Globe option: Zero-bin gray space, globe illos gray low atmos -- Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clh6f6fzf009j01qjg5zw8pcm	true	Globe option: Zero-bin gray space, globe illos gray low atmos -- Average Temperature -- v2-copy-copy
mapbox.country-boundaries-v1	clh6f81j001gt01paa1e54jea	false	Globe option: Brand black space and atmos -- Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clh6f81j001gt01paa1e54jea	true	Globe option: Brand black space and atmos -- Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clh6fhdag01ff01p85ckp2lyo	false	Globe option: Globe-illos gray space and both atmos -- Average Temperature -- v2-copy
mapbox.country-boundaries-v1	clh6fhdag01ff01p85ckp2lyo	true	Globe option: Globe-illos gray space and both atmos -- Average Temperature -- v2-copy
mapbox.mapbox-bathymetry-v2	clw4nd50401cv01qu3geqabjr	false	Streets
mapbox.mapbox-bathymetry-v2	clw4nd50401cv01qu3geqabjr	true	Streets
mapbox.mapbox-streets-v8	cki5ur8g0503s19qqxfuvcjtk	false	GCM: Number of Days above 32°C (90°F) -- For About Maps comparison map (Behind the maps page)
mapbox.mapbox-streets-v8	cki5ur8g0503s19qqxfuvcjtk	true	GCM: Number of Days above 32°C (90°F) -- For About Maps comparison map (Behind the maps page)
mapbox.mapbox-streets-v8	ckna63myn0p3817mr9sqoigt2	false	REMO: Days above 32C - 3°C (for comparison map)
mapbox.mapbox-streets-v8	ckna63myn0p3817mr9sqoigt2	true	REMO: Days above 32C - 3°C (for comparison map)
mapbox.mapbox-streets-v8	ckp719noh0kq017kjgnx384vc	false	REMO: Days above 32C - Baseline (for comparison map)
mapbox.mapbox-streets-v8	ckp719noh0kq017kjgnx384vc	true	REMO: Days above 32C - Baseline (for comparison map)
mapbox.mapbox-streets-v8	ckr2dva3m63h517pfsfc7l9ra	false	REMO: Days above 26C wetbulb - Baseline (for comparison map -- A Tour of Temperature page -- Singapore center)
mapbox.mapbox-streets-v8	ckr2dva3m63h517pfsfc7l9ra	true	REMO: Days above 26C wetbulb - Baseline (for comparison map -- A Tour of Temperature page -- Singapore center)
mapbox.mapbox-streets-v8	ckr2e6thh0gng17lrvxnixthw	false	REMO: Days above 26C wetbulb - 3°C (for comparison map -- A Tour of Temperature page -- Singapore center)
mapbox.mapbox-streets-v8	ckr2e6thh0gng17lrvxnixthw	true	REMO: Days above 26C wetbulb - 3°C (for comparison map -- A Tour of Temperature page -- Singapore center)
mapbox.mapbox-streets-v8	ckry0kho855fn18rzkw6si26u	false	REMO: Days above 32C -- For About Maps comparison map (Behind the maps page)
mapbox.mapbox-streets-v8	ckry0kho855fn18rzkw6si26u	true	REMO: Days above 32C -- For About Maps comparison map (Behind the maps page)
mapbox.mapbox-streets-v8	cksssq4fb3gwp17p6nslyb46w	false	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
mapbox.mapbox-streets-v8	cksssq4fb3gwp17p6nslyb46w	true	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
mapbox.mapbox-streets-v8	cl0l5mcrm001u14mysbn650hp	false	Change in precipitation "1-in-100 year" storm (for comparison map -- Tour of precipitation page) -- global RCM RegCM-REMO ensemble
mapbox.mapbox-streets-v8	cl0l5mcrm001u14mysbn650hp	true	Change in precipitation "1-in-100 year" storm (for comparison map -- Tour of precipitation page) -- global RCM RegCM-REMO ensemble
