tileset_id	modified	type	name
probablefutures.1gjebk3l	2021-01-20	vector	heat-32-remo-data-part-1-9a5ed2
probablefutures.20101-east-temperature-gremo	2021-07-19	vector	20101 - East - Average temperature
probablefutures.20101-west-temperature-gremo	2021-07-20	vector	20101 - West - Average temperature
probablefutures.20104-high-low-east	2021-07-20	vector	20104-high-low - East
probablefutures.20104-high-low-east-gremo	2021-07-20	vector	20104-high-low - East
probablefutures.20303-east-heat-gremo	2021-04-07	vector	20303 - East - Days above 30C wetbulb
probablefutures.20303-west-heat-gremo	2021-04-07	vector	20303 - West - Days above 30C wetbulb
probablefutures.20901-east-v3	2023-06-13	vector	20901 - East -- global REMO -- v3
probablefutures.20901-west-v3	2023-06-13	vector	20901 - West -- global REMO -- v3
probablefutures.21005-east-temp-gremo	2021-03-26	vector	21005 - East - Days above 32 C
probablefutures.21005-west-temp-gremo	2021-03-25	vector	21005 - West - Days above 32 C
probablefutures.21011-temp-gremo-east	2021-03-26	vector	21011 - East - Freezing days
probablefutures.21011-temp-gremo-west	2021-03-25	vector	21011 - West - Freezing days
probablefutures.40101-east-v3-z	2023-06-21	vector	40101 - East -- global RCM RegCM-REMO ensemble -- v3-lower zoom
probablefutures.40101-west-v3-z	2023-06-21	vector	40101 - West -- global RCM RegCM-REMO ensemble -- v3-lower zoom
probablefutures.40505-east	2022-01-05	vector	40505 - East -- global RCM RegCM-REMO ensemble
probablefutures.40601-east-v3-1	2023-05-31	vector	40601 - East -- global RCM RegCM-REMO ensemble -- v3-1
probablefutures.40601-east-v4	2024-11-15	vector	40601 - East -- global RCM RegCM-REMO ensemble -- v4
probablefutures.40601-east-v5	2025-01-03	vector	40601 - East -- global RCM RegCM-REMO ensemble -- v5
probablefutures.40601-west-v3-1	2023-05-31	vector	40601 - West -- global RCM RegCM-REMO ensemble -- v3-1
probablefutures.40601-west-v4	2024-11-15	vector	40601 - West -- global RCM RegCM-REMO ensemble -- v4
probablefutures.40601-west-v5	2025-01-03	vector	40601 - West -- global RCM RegCM-REMO ensemble -- v5
probablefutures.40607-east-v3-1	2023-05-31	vector	40607 - East -- global RCM RegCM-REMO ensemble -- v3-1
probablefutures.40607-east-v4	2024-11-19	vector	40607 - East -- global RCM RegCM-REMO ensemble -- v4
probablefutures.40607-east-v5	2025-01-20	vector	40607 - East -- global RCM RegCM-REMO ensemble -- v5
probablefutures.40607-west-v3-1	2023-05-31	vector	40607 - West -- global RCM RegCM-REMO ensemble -- v3-1
probablefutures.40607-west-v4	2024-11-19	vector	40607 - West -- global RCM RegCM-REMO ensemble -- v4
probablefutures.40607-west-v5	2025-01-20	vector	40607 - West -- global RCM RegCM-REMO ensemble -- v5
probablefutures.40612-east-v4	2024-11-19	vector	40612 - East -- global RCM RegCM-REMO ensemble -- v4
probablefutures.40612-east-v5	2025-01-20	vector	40612 - East -- global RCM RegCM-REMO ensemble -- v5
probablefutures.40612-west-v4	2024-11-19	vector	40612 - West -- global RCM RegCM-REMO ensemble -- v4
